StudentID,ProfessorID,S_fname,S_lname,S_email,S_contact,S_DeptName,marks
101,cs105,richard,k,richard@ucmo.edu,7894561230,computer_science,85.75
102,cs105,richard,k,richard@ucmo.edu,7894561230,computer_science,85.75
201,ds209,sam,samantha,sam@ucmo.edu,6478963210,computer_science,91.25
202,ds209,sam,samantha,sam@ucmo.edu,6478963210,computer_science,91.25
301,cs305,stella,shock,stella@ucmo.edu,1456987563,Bigdata,78.90
401,cy101,bella,bang,bella@ucmo.edu,3214785698,computer_science,88.65
501,ds305,natasha,mum,mom@ucmo.edu,3254789651,cyber_security,92.40
601,cs103,kim,kau,kim@ucmo.edu,1247896543,Bigdata,84.30
701,cy405,chen,hang,hang@ucmo.edu,1475698523,cyber_security,79.55
901,ds104,jenny,li,jenny@ucmo.edu,6587493210,data_science,87.75
1001,cy202,paul,kim,paul@ucmo.edu,7896541230,cyber_security,90.10
1101,cs301,sara,johnson,sara@ucmo.edu,4567893210,computer_science,89.00
1201,ds305,michael,green,michael@ucmo.edu,3214569870,Bigdata,76.45
1301,cy305,anna,brown,anna@ucmo.edu,9876543210,cyber_security,82.35
1401,cs405,tom,anderson,tom@ucmo.edu,1234567890,computer_science,85.90
1501,ds405,kate,smith,kate@ucmo.edu,6547891230,data_science,91.50
1601,cy103,bruce,wayne,bruce@ucmo.edu,7893216540,cyber_security,83.45
1701,cs102,clark,kent,clark@ucmo.edu,4561237890,computer_science,88.10
1801,ds203,diana,prince,diana@ucmo.edu,3216549870,Bigdata,80.85
1901,cy402,tony,stark,tony@ucmo.edu,9873216540,cyber_security,93.00
2001,cs502,steve,rogers,steve@ucmo.edu,6541237890,computer_science,87.20
2002,cs503,stone,rs,steve@ucmo.edu,6541237890,computer_science,87.20
