physician_id,first_name,last_name,specialty,phone_number,email,department,years_of_experience,license_number,clinic_address,city,state,zip_code,hospital_id,shift_timing
8132,Brian,Thompson,Orthopedics,2651796246,benjamin86@yahoo.com,Oncology,9,yf4700001,55451 John Walk,Lake Gwendolynchester,North Dakota,22004,7132,Night
4392,Michelle,Byrd,Neurology,4412109765,eugene89@hotmail.com,Surgery,6,CJ9199994,4058 Thomas Loop Suite 452,Gloverland,North Carolina,72021,6956,Evening
3501,Kaitlyn,Harris,General Medicine,8196326300,wilsonwilliam@gmail.com,Oncology,10,ZT0128932,01622 Robert Street Apt. 844,West Juanport,Utah,48087,3219,Morning
8288,Ian,Stewart,Orthopedics,1541813341,jillwilliams@gmail.com,Pediatrics,9,TO5108813,48853 Ellis Spur Suite 628,West Alexandra,Hawaii,27715,6870,Night
4736,Diana,Abbott,Orthopedics,3814197232,xclark@gmail.com,Oncology,12,HO0575669,63620 Crystal Lodge,Beckerfurt,Illinois,83614,6051,Evening
9648,Stephanie,Franklin,Cardiology,0778953345,qgonzales@price.biz,Pediatrics,36,QO5884820,8407 Lee Glen,Moorefort,West Virginia,47122,6956,Night
2289,Julie,Salinas,Cardiology,4102625075,bclark@hartman.com,Pediatrics,2,xY5610829,700 Matthew Shore Apt. 216,Russellside,Maryland,24542,8892,Evening
7129,Parker,Lewis,Cardiology,2661129968,yortiz@gmail.com,Oncology,11,gg5373564,56095 Curtis Circles,East Stephanie,Louisiana,22652,3815,Evening
3244,Melissa,Thomas,Cardiology,9914377774,shawnathan@gmail.com,Emergency,37,dg9986284,222 Joseph Circles Suite 103,Fosterburgh,New Mexico,47049,8639,Evening
9864,Sheila,Malone,Orthopedics,8968938081,clarkdavid@smith.org,Oncology,22,xo9912581,146 Contreras Burgs Apt. 412,West Anna,Virginia,21713,3815,Evening
5424,Tara,Singh,Cardiology,1295098557,dawsonmegan@gmail.com,Oncology,35,KE0188511,19509 William Dale Suite 870,Wilsonberg,Iowa,68370,7714,Morning
6127,Emily,Turner,General Medicine,5281759054,tiffanyhernandez@potter.com,Pediatrics,32,ln8300617,92643 Clark Summit,New Duaneport,Indiana,61840,6870,Morning
7912,Nicole,Medina,Orthopedics,9040163948,oharris@hotmail.com,Oncology,34,Xa4888561,638 Jones Wall Suite 869,West Edwin,New Mexico,50999,7714,Night
9926,Keith,Taylor,Neurology,4753654092,saguilar@henderson-oconnell.com,Emergency,27,YR4398314,491 Fisher Burgs,Angelatown,Iowa,35086,3954,Night
4575,Courtney,James,Neurology,4717337995,ysuarez@yahoo.com,Emergency,25,AH9037535,234 Leon Camp Apt. 756,Lake Travis,South Dakota,34743,7092,Evening
5428,Christopher,Lopez,Neurology,4717692420,glenda38@bolton.com,Pediatrics,4,ps1578822,3924 Skinner Curve,Michaelborough,Arizona,13821,9273,Night
5899,Dustin,Mullins,Orthopedics,3394482723,kelly01@gmail.com,Oncology,23,Ub1304670,462 Brian Estate,Schneiderport,Michigan,41674,8892,Night
4291,Nicole,Jones,Neurology,9889058957,bward@hotmail.com,Surgery,18,uK4768228,40987 Amber Springs,Escobarton,Illinois,98718,8728,Evening
7210,Laura,Ferguson,Orthopedics,7837164644,hillapril@wallace.net,Pediatrics,9,sT4126449,6283 Heidi Ramp Apt. 051,South Gloria,Georgia,29696,6956,Evening
9971,Sonya,Vega,Neurology,7679074153,brandyhoward@yahoo.com,Oncology,16,Ko1604061,60687 Ryan Road,Hoffmanbury,Rhode Island,94073,9273,Evening
